int	string(128)	string(128)	string(128)	string(128)
Id	AtlasName	Desc	BundleName	ResourceName
编号	所属图集名	说明	bundle名字	资源路径名字
111001	UiIcon1_Atlas	玩家改名卡	UiIcon1_Atlas	UiIcon1_Atlas
111002	UiIcon1_Atlas	金币	UiIcon1_Atlas	UiIcon1_Atlas
111003	UiIcon1_Atlas	钻石	UiIcon1_Atlas	UiIcon1_Atlas
111008	UiIcon1_Atlas	符文碎片	UiIcon1_Atlas	UiIcon1_Atlas
111009	UiIcon1_Atlas	魂玉	UiIcon1_Atlas	UiIcon1_Atlas
111010	UiIcon2_Atlas	游侠婕拉—商城头像	UiIcon2_Atlas	UiIcon2_Atlas
111011	UiIcon2_Atlas	小个子—商城头像	UiIcon2_Atlas	UiIcon2_Atlas
111012	UiIcon2_Atlas	重装火力—商城头像	UiIcon2_Atlas	UiIcon2_Atlas
111013	UiIcon2_Atlas	火枪手—商城头像	UiIcon2_Atlas	UiIcon2_Atlas
111014	UiIcon2_Atlas	嘟嘟—商城头像	UiIcon2_Atlas	UiIcon2_Atlas
111015	UiIcon2_Atlas	忍者—商城头像	UiIcon2_Atlas	UiIcon2_Atlas
111016	UiIcon2_Atlas	发明家—商城头像	UiIcon2_Atlas	UiIcon2_Atlas
111017	UiIcon2_Atlas	赏金猎人—商城头像	UiIcon2_Atlas	UiIcon2_Atlas
111018	UiIcon2_Atlas	小丑—商城头像	UiIcon2_Atlas	UiIcon2_Atlas
111019	UiIcon2_Atlas	时空旅行者—商城头像	UiIcon2_Atlas	UiIcon2_Atlas
111020	UiIcon2_Atlas	审判长-商城头像	UiIcon2_Atlas	UiIcon2_Atlas
111021	UiIcon2_Atlas	热血机师-商城头像	UiIcon2_Atlas	UiIcon2_Atlas
111022	UiIcon2_Atlas	未知英雄7—商城头像	UiIcon2_Atlas	UiIcon2_Atlas
111023	UiIcon2_Atlas	未知英雄8—商城头像	UiIcon2_Atlas	UiIcon2_Atlas
111024	UiIcon2_Atlas	未知英雄9—商城头像	UiIcon2_Atlas	UiIcon2_Atlas
111025	UiIcon2_Atlas	未知英雄10—商城头像	UiIcon2_Atlas	UiIcon2_Atlas
111026	UiIcon2_Atlas	未知英雄11—商城头像	UiIcon2_Atlas	UiIcon2_Atlas
111027	UiIcon1_Atlas	礼包	UiIcon1_Atlas	UiIcon1_Atlas
111028	UiIcon1_Atlas	小喇叭	UiIcon1_Atlas	UiIcon1_Atlas
111031	UiIcon1_Atlas	复活币	UiIcon1_Atlas	UiIcon1_Atlas
111032	UiIcon1_Atlas	小符文碎片包	UiIcon1_Atlas	UiIcon1_Atlas
111033	UiIcon1_Atlas	中符文碎片包	UiIcon1_Atlas	UiIcon1_Atlas
111034	UiIcon1_Atlas	大符文碎片包	UiIcon1_Atlas	UiIcon1_Atlas
111035	UiIcon1_Atlas	超级符文碎片包	UiIcon1_Atlas	UiIcon1_Atlas
111036	UiIcon1_Atlas	双倍金币卡（1天）	UiIcon1_Atlas	UiIcon1_Atlas
